Model,ROC_AUC,PR_AUC
Baseline Logistic,0.6284993201120086,0.1996404434077614
Enhanced Logistic (+ Prior-Year Spending),0.6688496640892382,0.23113430810924962
Boosted Tree Benchmark,0.668861936643658,0.23445766645672972
